Badge Title | Issuing Organization | Description | Issuing Date | Verification Link | PNG Image

IBM AI Developer Professional Certificate | Coursera | This badge earner is prepared for a career in AI development and is equipped with skills to build AI-powered chatbots and apps. The badge earner: understands software engineering principles, core concepts of AI, including generative AI; can apply effective prompt engineering techniques; can create generative AI-driven applications using Python; and deploy them on the web. They can leverage public LLMs and open-source AI models hosted on platforms like IBM watsonx to build AI solutions. | 2024-08-25 | N/A | https://images.credly.com/images/70675aed-31be-4c30-add7-b99905a34005/image.png

Meta Full-Stack Engineer Certificate | Coursera | The Meta Full-Stack Engineer Certificate is awarded to learners who complete both the Front-end and Backend Developer certificate programs, hosted by Coursera. These rigorous, self-paced courses, developed by Meta experts, prepare a candidate for an entry level job as a full-stack developer. The courses culminate in the successful completion of capstone projects. | 2023-11-06 | N/A | https://images.credly.com/images/997d4586-e7b2-4174-9c76-5c7304953e2c/image.png

Meta Data Analyst Professional Certificate | Coursera | The Meta Data Analyst Professional Certificate, hosted by Coursera, represents preparation for a career in the high-growth field of data analytics. In this program, you’ll build in-demand technical skills like Python, Statistics, and SQL in spreadsheets to get job-ready in 5 months or less, no prior experience needed. You'll also learn how generative AI tools and techniques are used in data analytics. | 2024-08-25 | N/A | https://images.credly.com/images/4dd82f2c-e7eb-4b64-bb24-f4351f596220/image.png

Meta Back-End Developer Certificate | Coursera | The Meta Back-End Developer Certificate is awarded to learners who complete a series of courses on back-end development, hosted by Coursera. With a focus on Python, these rigorous, self-paced courses, developed by Meta experts, prepare a candidate for an entry level job as a back-end developer. The courses culminate in the successful completion of a capstone project. | 2023-11-06 | N/A | https://images.credly.com/images/4d81763c-b917-4ab9-92be-103af95c0a21/image.png

Data Analytics Essentials | Coursera | This badge earner has demonstrated a foundational knowledge of Data Analytics. The individual can explain what is Data Analytics, list the key tools and technologies within the data ecosystem, and has a conceptual understanding of the data analysis lifecycle. The badge earner is also able to describe the technical and soft skills required to become a successful data analyst. | 2023-10-28 | N/A | https://images.credly.com/images/42f7ca3c-6eb3-47d2-a7f3-3b1093ea1b35/image.png

Python Essentials 2 | Cisco | Cisco, in collaboration with OpenEDG Python Institute, verifies the earner of this badge successfully completed the Python Essentials 2 course and achieved the student level credentials. Earners have knowledge and skills in intermediate aspects of Python programming, including modules, packages, exceptions, file processing, as well as general coding techniques and object-oriented programming (OOP), and prepares the learner for the PCAP – Certified Associate in Python Programming certification. | 2025-06-14 | N/A | https://images.credly.com/images/3f802526-7274-4230-91ab-f6d1a35340e6/image.png

Python Essentials 1 | Cisco | Cisco, in collaboration with OpenEDG Python Institute, verifies the earner of this badge successfully completed the Python Essentials 1 course and achieved the student level credentials. Earners have knowledge of the concepts of computer programming, the syntax and semantics of the Python language as well as demonstrate the ability to accomplish coding tasks related to the essentials of programming in the Python language and resolve implementation challenges using the Python Standard Library. | 2025-06-14 | N/A | https://images.credly.com/images/68c0b94d-f6ac-40b1-a0e0-921439eb092e/image.png

Data Analytics Essentials | Cisco | Cisco verifies the earner of this badge successfully completed the Data Analytics Essentials course. The holder of this student-level credential has a broad understanding how the data analytics process creates value from data, can explain characteristics of data, including formats, availability and methods to acquire, can transform data and analyze data using basic statistical and data preparation techniques. The holder has completed hands-on activities using Excel, SQL, Tableau and other tools. | 2024-12-11 | N/A | https://images.credly.com/images/1fdfeaeb-e61c-4450-bdfe-a07bd4e715df/image.png

AWS Academy Graduate - Cloud Data Pipeline Builder - Training Badge | Amazon Web Services Training and Certification | Earners of this badge have completed AWS Academy Lab Projects - AWS Academy Cloud Data Pipeline Builder. | 2024-11-18 | N/A | https://images.credly.com/images/43f26cf1-0b54-41a3-9fa5-3d2f02fa5040/blob

AWS Academy Graduate - Cloud Foundations - Training Badge | Amazon Web Services Training and Certification | Earners of this badge have taken the AWS Academy Cloud Foundations course. | 2024-10-23 | N/A | https://images.credly.com/images/e3541a0c-dd4a-4820-8052-5001006efc85/blob

AWS Academy Graduate - Cloud Web Application Builder - Training Badge | Amazon Web Services Training and Certification | Earners of this badge have completed AWS Academy Lab Projects - AWS Academy Cloud Web Application Builder. | 2024-11-18 | N/A | https://images.credly.com/images/7b3f119b-ada8-4ff6-817a-f2a8bbb7fe97/blob

CCNA: Introduction to Networks | Cisco | Cisco verifies the earner of this badge successfully completed the Introduction to Networks course and achieved this student level credential. Earner has knowledge of networking including IP addressing, how physical, data link protocols support Ethernet, can configure connectivity between switches, routers and end devices to provide access to local and remote resources. Earner participated in up to 54 labs and accumulated up to 14 hours of hands-on labs using Cisco hardware or Packet Tracer tool | 2024-03-18 | N/A | https://images.credly.com/images/70d71df5-f3dc-4380-9b9d-f22513a70417/CCNAITN__1_.png

CCNA: Switching, Routing, and Wireless Essentials | Cisco | Cisco verifies the earner of this badge successfully completed the Switching, Routing, and Wireless Essentials course and achieved this student level credential. The earner has a foundation in switching operations, wired and wireless LAN configuration using security best practices, redundancy protocols, and developed problem-solving skills. Earner participated in up to 45 practice activities and accumulated up to 21 hours of hands-on labs using Cisco hardware and/or the Cisco Packet Tracer tool. | 2024-05-02 | N/A | https://images.credly.com/images/f4ccdba9-dd65-4349-baad-8f05df116443/CCNASRWE__1_.png

Endpoint Security | Cisco | Cisco verifies the earner of this badge successfully completed the Endpoint Security course. The holder of this student-level credential has a broad understanding of basic concepts of network security, as well as operating systems and endpoint security. | 2024-12-10 | N/A | https://images.credly.com/images/0ca5f542-fb5e-4a22-9b7a-c1a1ce4c3db7/EndpointSecurity.png

Networking Basics | Cisco | Cisco verifies the earner of this badge successfully completed the Networking Basics course and achieved this student level credential. Earner has knowledge of the types of networks, how they work, how devices send and receive data, the types of network cabling, how IP addresses find information on the Internet, how transport and applications operate, and has practiced building a home wireless network. Participated in up to 13 Cisco Packet Tracer activities. | 2024-12-10 | N/A | https://images.credly.com/images/5bdd6a39-3e03-4444-9510-ecff80c9ce79/image.png

Introduction to Cybersecurity | Cisco | Cisco verifies the earner of this badge successfully completed the Introduction to Cybersecurity course. The holder of this student-level credential has introductory knowledge of cybersecurity, including the global implications of cyber threats on industries, and why cybersecurity is a growing profession. They understand vulnerabilities and threat detection and defense. They also have insight into opportunities available with pursuing cybersecurity certifications. | 2024-08-10 | N/A | https://images.credly.com/images/af8c6b4e-fc31-47c4-8dcb-eb7a2065dc5b/I2CS__1_.png

Junior Cybersecurity Analyst Career Path | Cisco | Cisco verifies the earner of this badge successfully completed the Junior Cybersecurity Analyst Career Path with Cisco Networking Academy. They understand techniques to monitor and protect the network, including firewalls, cloud security, and cryptography, they are familiar with security alerts and governance, and they have skills to perform network vulnerability assessment and create a risk management plan, including forensic investigations and incident response planning. | 2024-12-17 | N/A | https://images.credly.com/images/441578ec-c0f3-46cc-95fc-86b27e90cf4f/image.png

MongoDB Basics for Students | MongoDB | This digital credential validates your knowledge of database fundamentals and the document model. It recognizes your understanding of scaling and replication in a distributed database architecture and how to deploy a MongoDB Atlas cluster. | 2025-06-14 | N/A | https://images.credly.com/images/08974f21-b24f-4a0e-be9d-4ae904907259/blob

Git and GitHub Essentials | Coursera | This badge earner has demonstrated how to use Git and GitHub as code repositories for developing applications. They understand why version control is essential in creating open-source and commercial software. The badge earner can create repositories and branches, perform pull requests and merge operations, and use these repositories to collaborate with their teammates. | 2024-05-04 | N/A | https://images.credly.com/images/9a0255eb-a47d-4f3a-9611-243bfe3eb9e4/image.png

Software Engineering Essentials | Coursera | The badge earner has demonstrated an understanding of the software development lifecycle and the software building process. They have a foundational knowledge of software development and the tools used for it and can identify basic programming constructs. They can describe various types of system architectures, software architectures, and deployments. The badge earner can also identify the skills needed for software development roles and describe career opportunities for software engineers. | 2024-08-25 | N/A | https://images.credly.com/images/1b67aaf9-670d-4c92-8d51-7ac1190f0a42/image.png

Develop GenAI Apps with Gemini and Streamlit Skill Badge | Google Cloud | Complete the intermediate Develop GenAI Apps with Gemini and Streamlit skill badge to demonstrate skills in the following: text generation, applying function calls with the Python SDK and the Gemini API, and deploying a Streamlit application with Cloud Run. You will explore different ways to prompt Gemini for text generation, use Cloud Shell to test and iterate on a Streamlit application, and then package it as a Docker container deployed in Cloud Run. | 2026-05-01 | N/A | https://images.credly.com/images/1dbef1bd-cdb0-40e1-bff4-8200448c3161/blob

